TF,target,importance
HLA-B,MT-CYB,215.48448189104695
B2M,MALAT1,201.43820142294473
HLA-B,MT-ATP6,198.6030945436691
HLA-B,B2M,172.1554284964817
HLA-B,MT-CO2,167.74806109519625
RPL3,EEF1A1,155.08702597771756
HLA-B,EEF1A1,153.91112154355233
CD8A,CD8B,149.57370219328843
CD8B,CD8A,140.7248455519644
RPL3,B2M,137.12506228167118
B2M,RPL3,135.3781480593622
ANGPT2,MCPH1,130.5184466148579
HLA-B,MT-ND4,129.62854585119197
GNLY,PRF1,120.86369938645603
B2M,HLA-B,120.85220485538144
B2M,MT-ND3,119.91501794049952
RORA,RORA-AS1,117.6032180634876
TPT1,EEF1A1,115.94746083119276
MCPH1,ANGPT2,114.58311634265074
GNLY,NKG7,114.32553891498615
HLA-B,MT-ND1,109.4966309591406
HLA-B,RPS27,108.27006323315256
RPL3,RPS27,107.68391998649386
HLA-B,RPL41,103.24346851237635
RS1,BMP4,100.68668225889056
