TF,target,importance
CD8B,CD8A,140.55124694051398
ANGPT2,MCPH1,135.38356732841495
CD8A,CD8B,124.51746360570924
PRF1,GNLY,108.18869697696748
GNLY,PRF1,104.95246453527568
MCPH1,ANGPT2,84.91775823924073
CTSL,ALOX15,81.03685363516463
HLA-B,B2M,80.23649803105538
GNLY,TGFBR3,78.70757177205968
S100A4,S100A6,77.41155659816997
RPL3,RPS3A,76.73143208760068
RPL3,B2M,76.33657310459705
RPL3,LTB,75.86200697797666
IFITM3,CDKN1C,74.80384191556543
PAX5,MS4A1,71.95412684402983
S100A6,S100A4,71.94128286147594
B2M,RPS3A,71.50224913193384
MS4A1,PAX5,71.0167752226821
CSF3R,VCAN,69.54236136710284
FOSB,JUN,68.91212471550537
HLA-DRA,HLA-DQA1,67.77075756345127
B2M,HLA-B,67.16343980601175
CD74,HLA-DRA,66.15137604302488
B2M,RPL3,65.66491862420567
HLA-DRA,CD74,65.43700763141673
