TF,target,importance
ANGPT2,MCPH1,242.51333049116036
MCPH1,ANGPT2,233.02486716537743
CD8A,CD8B,213.90924798859444
CD8B,CD8A,207.1202841169705
RPL3,B2M,194.5561247255878
MECOM,TBX4,177.9934038405225
HLA-A,B2M,137.7389108619411
B2M,HLA-B,136.4946466425329
LEF1,PRKCA,127.26704599297864
GNLY,PRF1,126.88560001951122
FOSB,JUN,124.60887576112852
PTPN13,TBX4,118.9382871450841
B2M,LTB,117.45569960374232
WFS1,TBX4,116.1689188224732
LEF1,BACH2,115.1193040919603
PRF1,GNLY,113.0556858633266
B2M,HLA-E,111.73532178816949
CD8A,KLRK1,110.65608876801524
RPL3,TPT1,110.57496331379724
B2M,HLA-A,109.81284472988736
B2M,HLA-C,106.76973533458565
HLA-B,HLA-C,104.81851856628136
BCL2,CDK6,101.1460419002564
RPL3,RPLP0,100.95350646793894
KLK3,B2M,100.0657340795426
