TF,target,importance
ANGPT2,MCPH1,139.76862118869872
CD8A,CD8B,134.25690110759993
CD8B,CD8A,132.52551225069885
MCPH1,ANGPT2,105.17875747249715
S100A9,S100A8,100.32803814417636
RORA,RORA-AS1,99.7745087820236
PRF1,GNLY,99.16212353574976
ACE,FOXI1,96.5775602883038
B2M,HLA-B,90.5118940277755
S100A4,S100A6,89.21971458006976
BCL2,CDK6,88.23630202733662
GNLY,NKG7,85.87328225288611
PAX5,MS4A1,85.73604976222252
FOSB,JUN,84.32413114642618
GNLY,PRF1,83.18110072742503
DENND4A,RAB11A,79.95612618611716
HLA-B,B2M,79.1778491946326
B2M,HLA-C,76.33588606189592
RPS3A,EEF1A1,76.32887640204896
B2M,TMSB4X,75.22560899733801
HLA-B,HLA-A,74.30165465320373
LYZ,S100A9,74.0513221191426
S100A4,LGALS1,72.26152001123268
MS4A1,BANK1,71.52494628415191
B2M,MYL12A,71.46985827966287
