TF,target,importance
MCPH1,ANGPT2,232.28530762770075
ANGPT2,MCPH1,188.04898957432545
CD8A,CD8B,187.908491147599
CD8B,CD8A,181.38237965884176
FOSB,JUN,145.04990892352154
BCL2,CDK6,141.23562801869593
LEF1,PRKCA,110.47813086710852
B2M,HLA-B,110.25277921624702
JCHAIN,SDC1,109.54884376044753
B2M,HLA-A,107.31329041969263
GNLY,PRF1,107.19953824129888
LEF1,FHIT,103.38615987180724
B2M,HLA-C,100.6815033220498
MS4A1,PAX5,97.75970774453292
HLA-B,HLA-A,96.1215368146874
TNC,DEC1,93.97201339117404
PRF1,GNLY,93.4210277861628
LEF1,CCR7,93.14751533926828
HLA-DRA,HLA-DQA1,93.05173019984412
CD74,HLA-DQA1,92.24158991951042
LEF1,NELL2,90.61715991225668
HLA-B,HLA-C,89.86836442892348
S100A4,S100A6,88.27865324464658
CD36,VCAN,87.97221502178618
IFITM3,CDKN1C,87.81555670195141
