TF,target,importance
LTC4S,PLIN1,156.67227218786397
ANGPT2,MCPH1,137.49505513412606
CD8B,CD8A,136.52348184332985
CD8A,CD8B,130.04039489940735
RS1,BMP4,126.8019796655506
GNLY,PRF1,110.33783607848474
RETN,SNCB,98.82415916623587
PHLDA1,PLIN1,97.31019952875188
PRF1,GNLY,95.7569557535822
B2M,HLA-B,93.44570150750326
POLD1,BMP4,92.20627460890783
TPMT,SNCB,88.07306849743286
BCL2,CDK6,86.00308248232257
TEF,SNCB,83.85060723890761
LYZ,S100A9,83.3695207448953
FOXM1,BMP4,82.92808414372696
B2M,HLA-C,82.84240397605579
B2M,HLA-A,79.7203504177911
MCPH1,ANGPT2,79.05649029054683
FOSB,JUN,78.10023958614904
CSF3R,VCAN,77.93167464495659
EOMES,PLIN1,77.25883798375298
RPL3,RPS3A,75.66765127681528
CTSL,ALOX15,72.53583463164489
RPL3,RPLP0,72.43901574553949
