x,y,dataset
0.02368404,0.022349687,rna3k
0.03437592,0.0026075768,rna3k
-0.035326358,0.024900278,rna3k
-0.0031575402,0.0065170084,rna3k
-0.02822962,-0.029359534,rna3k
-0.014357142,-0.013146564,rna3k
0.040324476,0.0057142605,rna3k
-0.019534187,-0.037830636,rna3k
-0.0058708536,0.0052004587,rna3k
0.024562158,-0.0024214827,rna3k
0.032542605,-0.02932551,rna3k
-0.018688176,-0.03815019,rna3k
-0.014561117,0.0026187073,rna3k
0.028082313,-0.02471392,rna3k
0.012806537,0.014658976,rna3k
0.0024439485,-0.028462471,rna3k
0.016353492,0.0006585873,rna3k
0.003591257,0.0018701471,rna3k
0.01333761,-0.0032327948,rna3k
0.0043115644,-0.0024138826,rna3k
0.0047567524,0.012485075,rna3k
0.00069567905,-0.0023182689,rna3k
-0.032720592,0.011695473,rna3k
-0.0044516274,-0.01984382,rna3k
-0.03016742,-0.018213652,rna3k
0.007307505,0.0036706098,rna3k
0.039043065,-0.0034897127,rna3k
-0.00032745567,-0.015469774,rna3k
-0.002575242,0.0030512256,rna3k
-0.0049829152,0.0076932195,rna3k
0.021075372,0.0212184,rna3k
0.0066293827,0.027615713,rna3k
-0.011872656,-0.014576594,rna3k
0.020017553,-0.025654549,rna3k
0.008856718,0.008522738,rna3k
-0.0021399297,-0.0025409346,rna3k
0.030837052,-0.030631483,rna3k
-0.015715767,-0.027964244,rna3k
-0.003385317,0.01234749,rna3k
-0.021697797,-0.002861913,rna3k
0.010067432,0.032812823,rna3k
0.014037949,-0.032219194,rna3k
0.0115288505,-0.035298795,rna3k
-0.008775049,0.015483062,rna3k
0.054567564,0.0019461585,rna3k
0.008255659,-0.031179726,rna3k
0.016581465,0.009406962,rna3k
-0.015040974,0.026144322,rna3k
-0.03478373,0.02923034,rna3k
0.008053991,0.0065386947,rna3k
0.0025861945,0.0087452885,rna3k
-0.0008269824,-0.00921343,rna3k
0.029022066,-0.034912426,rna3k
0.006973538,-0.0015777355,rna3k
-0.008647393,0.049345233,rna3k
-0.01125605,0.024452323,rna3k
-0.0038996378,-0.01636753,rna3k
-0.047262155,0.0010770638,rna3k
0.0028737385,-0.030994225,rna3k
-0.020375626,0.009737127,rna3k
-0.0065371017,-0.012717568,rna3k
-0.0017947629,0.012539416,rna3k
-0.006530481,0.007416555,rna3k
0.009693168,0.0337075,rna3k
0.012518279,0.0039095785,rna3k
0.008583535,-0.0014392405,rna3k
0.01973331,0.005273052,rna3k
-0.020886116,-0.044065233,rna3k
0.015686415,0.004164407,rna3k
0.0090989815,-0.0326183,rna3k
-0.020401884,0.00800734,rna3k
-0.008010272,-0.026492953,rna3k
-0.000916242,-0.0018027825,rna3k
0.004708856,0.013076782,rna3k
0.0037853143,-0.0138288215,rna3k
-0.017812233,-0.013711485,rna3k
0.03297828,-0.005387206,rna3k
0.0018495823,0.0124410065,rna3k
0.002270226,0.009868403,rna3k
-0.00015878808,-0.008368777,rna3k
0.01071013,-0.038910713,rna3k
0.02718483,0.014108445,rna3k
-0.015194873,-0.0070934533,rna3k
-0.005190704,0.01799195,rna3k
-0.04749654,0.02172671,rna3k
