x,y,dataset
0.013591816,0.025599347,rna3k
-0.025597423,0.007584781,rna3k
-0.0269168,-0.0048616696,rna3k
0.0034456754,0.007153101,rna3k
0.014110595,0.009162403,rna3k
0.016226929,0.0065905,rna3k
0.015837412,-0.026482247,rna3k
-0.02637667,-0.02797917,rna3k
0.004544234,-0.0443296,rna3k
-0.024708167,-0.022080211,rna3k
-0.016179172,0.013787531,rna3k
0.013871453,-0.019627681,rna3k
0.011638555,0.0275955,rna3k
-0.026250316,-0.0008081968,rna3k
0.013592466,-0.010503883,rna3k
-0.026356624,0.0155562125,rna3k
-0.01681309,-0.026544603,rna3k
0.0037522782,0.030549077,rna3k
0.015988017,-0.009438511,rna3k
-0.026617827,-0.02594434,rna3k
0.016300768,-0.022508068,rna3k
0.0038982816,0.031774063,rna3k
-0.025969028,-0.022933237,rna3k
0.016261369,0.020788195,rna3k
0.01436389,0.008491283,rna3k
-0.026671097,-0.003583532,rna3k
-0.025395222,-0.025936259,rna3k
-0.0042970916,0.029369822,rna3k
-0.023724211,-0.023890806,rna3k
0.016068771,-0.015677921,rna3k
0.016148606,-0.032174267,rna3k
0.013583247,-0.0061105667,rna3k
0.014617301,0.0123548815,rna3k
-0.026338562,-0.0024790985,rna3k
0.013545468,-2.781591e-05,rna3k
0.01597381,0.028516838,rna3k
-0.0260831,-0.013300093,rna3k
0.016190344,0.009586527,rna3k
0.004015952,-0.0047827945,rna3k
-0.023693245,-0.026121842,rna3k
0.01621456,-0.027575294,rna3k
-0.026199523,-0.010720986,rna3k
-0.026306294,0.0348698,rna3k
0.015728159,-0.0025153211,rna3k
-0.026123252,0.0044130664,rna3k
0.016206257,-0.0018612058,rna3k
0.016245274,0.011008772,rna3k
-0.026937647,-0.007913636,rna3k
-0.020729491,-0.021250708,rna3k
-0.026346186,0.0059926696,rna3k
0.003922762,-0.0126301795,rna3k
0.016204119,0.032421786,rna3k
-0.025479011,-0.001345297,rna3k
0.016234249,0.0036387641,rna3k
0.01625779,-0.011860702,rna3k
-0.025874786,8.1923325e-05,rna3k
0.016191844,-0.025819793,rna3k
-0.026013382,0.031220965,rna3k
-0.02603504,0.0027086076,rna3k
-0.026624128,-0.0069963722,rna3k
0.0040934766,0.027230278,rna3k
0.004976496,-0.00040080288,rna3k
0.0035324446,0.039519057,rna3k
0.016117852,0.00239642,rna3k
0.003708569,-0.01055932,rna3k
0.016188275,-0.024027346,rna3k
-0.025710277,0.015523914,rna3k
0.014285036,-0.0023839702,rna3k
-0.026049739,0.005708827,rna3k
0.01621002,0.037048005,rna3k
-0.026709262,-0.011808131,rna3k
0.016149381,-0.018239526,rna3k
0.015669657,0.009657139,rna3k
0.016078781,-0.003389901,rna3k
-0.025803624,0.008732781,rna3k
-0.026813393,-0.04878655,rna3k
-0.025675751,0.008985932,rna3k
0.0039677853,0.0009145951,rna3k
0.01601183,-0.019633073,rna3k
0.0035582962,-0.000817837,rna3k
-0.026436022,0.011986269,rna3k
0.016104627,-0.0068191267,rna3k
0.003866423,-0.011754195,rna3k
0.0036577797,0.025123231,rna3k
-0.021977646,0.00015636224,rna3k
0.016085483,0.00046347204,rna3k
0.015937494,-0.023604663,rna3k
0.0037983027,0.004281953,rna3k
0.0037097929,-0.013979531,rna3k
0.01628593,0.00095811015,rna3k
0.016244106,0.018802773,rna3k
0.01601263,-0.019707477,rna3k
-0.026614383,-0.009703459,rna3k
