x,y,dataset
-0.011012217,-0.004554835,rna10k
0.0010974285,0.0054625357,rna10k
-0.008374254,-0.00616003,rna10k
0.0052308664,-0.0004983462,rna10k
-0.00035645327,-0.00337837,rna10k
-0.0036402126,-0.0030067582,rna10k
-0.017047195,-0.0016586022,rna10k
0.0009428171,0.006021835,rna10k
0.013076039,-0.00254468,rna10k
-0.003846854,-0.0064195246,rna10k
0.042384673,0.00919004,rna10k
0.0068834424,-0.005673631,rna10k
0.003163986,-0.0051873093,rna10k
0.004356994,0.021385664,rna10k
-0.0072517986,0.0017227521,rna10k
-0.018841548,-0.0030769608,rna10k
0.00050028024,0.0023961538,rna10k
-0.0007361013,0.0036457363,rna10k
0.010393481,-0.0037258044,rna10k
0.0028572667,0.0023177608,rna10k
-0.0026354888,-0.00027388733,rna10k
0.06534594,0.0052546505,rna10k
-0.005012183,-0.0057453457,rna10k
-0.0012503269,-0.0030761226,rna10k
-0.0015047769,-0.0028840087,rna10k
0.016984617,-0.0024266436,rna10k
0.021714743,0.010299012,rna10k
0.008240715,0.003415866,rna10k
0.0025478788,-0.0033957898,rna10k
0.0018130761,-0.0057306145,rna10k
-0.0025686747,0.0018637904,rna10k
0.0016624563,0.0018716771,rna10k
0.010168917,-0.005906235,rna10k
0.00047666777,-0.00478195,rna10k
-0.0094619095,0.001588358,rna10k
0.003877899,0.002411292,rna10k
0.003841636,-0.004783564,rna10k
0.0010871092,-0.0035140715,rna10k
0.0016643042,0.0037477603,rna10k
-0.0033556463,-0.006019151,rna10k
-0.006079986,-0.004438815,rna10k
0.0037756115,-4.713145e-05,rna10k
-0.0075607602,0.003153999,rna10k
-0.024839567,0.0029573936,rna10k
0.0020630716,0.0054783933,rna10k
-0.0035748172,-0.01626309,rna10k
0.0045179278,-0.004126228,rna10k
-0.005471873,0.0008578878,rna10k
-0.005334628,-0.021371778,rna10k
0.0044455747,-0.0017647834,rna10k
-0.016233448,0.002261268,rna10k
0.0029793077,-0.0046005337,rna10k
0.014761359,-0.00024696204,rna10k
-0.00024751283,0.002081752,rna10k
0.0010020594,-0.006189885,rna10k
-0.0009212129,0.0071457135,rna10k
0.005673791,-0.001136731,rna10k
-0.005249588,0.019543761,rna10k
0.0022464644,0.001187522,rna10k
0.006653108,-0.0039036325,rna10k
0.052530948,0.004282534,rna10k
0.0049767387,-0.0059423116,rna10k
-0.005543665,-0.005882144,rna10k
0.011871424,0.00019244813,rna10k
0.0048089684,0.0022628924,rna10k
0.007890946,-0.0055106683,rna10k
0.008224224,-0.005540534,rna10k
0.00070699706,0.0022728953,rna10k
-0.005190015,0.0020717203,rna10k
0.0059543033,-0.005884902,rna10k
-0.016684057,-0.0028134198,rna10k
-0.00020441724,-0.0025014353,rna10k
-0.01522916,-0.012978118,rna10k
-0.003025816,-0.0045928247,rna10k
-0.0013329313,0.007406041,rna10k
0.005776333,0.00036548643,rna10k
-0.00090191094,-0.0061399047,rna10k
-0.0026072632,0.0070629823,rna10k
0.0026536155,-0.005767987,rna10k
-0.0044939322,0.010877705,rna10k
0.004613496,0.0015292545,rna10k
-0.005094271,0.009844492,rna10k
-0.007823846,0.0015514066,rna10k
-0.0024901244,0.0016586111,rna10k
0.0011926796,0.0059401686,rna10k
-0.0007961507,-0.023904549,rna10k
-0.00028740303,0.006871068,rna10k
-0.0033497897,0.015251333,rna10k
0.0093560135,-0.0075169136,rna10k
-0.0018803666,-0.0061600106,rna10k
0.0060980585,-0.0046853265,rna10k
0.004321886,0.001110551,rna10k
0.06063245,0.008793745,rna10k
-0.0045618783,0.020135343,rna10k
-0.0077231647,0.0037819145,rna10k
0.0018914449,0.0019285965,rna10k
-0.00827327,3.7522216e-08,rna10k
0.0036068284,-0.0046092253,rna10k
0.0054987255,-0.020020207,rna10k
0.007845937,-0.0038284396,rna10k
0.0015728078,-0.005242827,rna10k
-0.0017808715,0.0062641073,rna10k
0.0006543162,-0.023222234,rna10k
0.004188389,0.003193173,rna10k
-0.0034604263,-0.011737375,rna10k
-0.0075835413,0.0010387893,rna10k
-0.007429842,0.0017514547,rna10k
0.004454367,-0.0010466683,rna10k
-0.019216878,-0.0025843696,rna10k
-0.0030429095,-0.020299524,rna10k
0.004356072,-0.0071814694,rna10k
-0.002696682,0.0027409855,rna10k
-0.002224478,0.007921703,rna10k
0.0002379667,0.016748523,rna10k
