TF,target,importance
HOPX,GNLY,175.5086891218519
LYAR,CCL5,156.66941753177576
FOS,DUSP1,155.7186503284804
HOPX,PRF1,145.52020179184794
PAX5,EBF1,132.0980422470187
EBF1,PAX5,128.95173062819728
HOPX,IL2RB,126.35439438736442
MEF2C,HLA-DRA,125.08267185858644
HOPX,GZMB,123.96287982214852
FOS,JUN,123.00063656122222
NEAT1,LYZ,121.71253907052082
NEAT1,S100A9,114.805502277221
HOPX,CCL5,113.6788563190668
JUNB,JUN,113.07701247644373
FOS,ZFP36,113.02984557269552
HOPX,RHOC,111.43025214279557
NEAT1,CTSS,108.81506867283912
NEAT1,VCAN,107.44952960708538
NEAT1,MNDA,106.04880907813792
FOS,JUNB,104.92889775155312
NEAT1,SAT1,102.3270590110122
MEF2C,CD74,100.97470317125706
NEAT1,CD14,100.1105012543319
HMGB2,MKI67,99.67581447231608
MEF2C,HLA-DPA1,99.5625335151675
