TF,target,importance
CD8A,CD8B,258.3852306120512
CD8B,CD8A,202.99767249189497
HLA-B,HLA-C,116.29905434323702
HLA-C,HLA-B,112.04118689796726
FOS,DUSP1,109.54188457315136
S100A6,S100A4,104.74705820009969
CD79A,MS4A1,100.46229003543336
HLA-B,HLA-A,99.79779943361903
TPT1,RPS3A,97.88186070288808
DUSP1,FOS,97.56912553782765
MS4A1,CD79A,96.35205066111769
RPS3A,TPT1,92.73495914023628
LYZ,S100A9,90.81583198774186
GNLY,PRF1,90.17583486939276
HLA-B,B2M,84.81061308125821
FOS,JUN,84.60678178791396
S100A4,S100A6,82.264723909046
PRF1,GNLY,81.6579259072896
RPS3A,ALDOA,79.93745520666836
HLA-DRB1,HLA-DQB1,79.91822504671465
HLA-DRA,HLA-DRB1,78.17147790659823
RPS3A,RPL3,76.45829717007128
BCL2,CDK6,75.40598108326371
MNDA,S100A9,73.85317796249242
LYZ,VCAN,73.81454600898682
