TF,target,importance
PAX5,EBF1,218.54500039408583
EBF1,PAX5,190.25138121409816
PAX5,MS4A1,188.4677493770266
FOSB,JUN,172.50596084987006
TCF7L2,CDKN1C,141.85601894370697
LEF1,NELL2,138.47542961589613
PAX5,CD22,134.34040036127354
PAX5,CD79A,133.05479212133912
EBF1,MS4A1,133.03938114536845
TCF4,RUNX2,132.67353917228402
LEF1,PRKCA,131.47532022049842
NEAT1,VCAN,128.9540738686051
MYBL1,CCL5,128.65657056589825
CREB5,VCAN,128.1027796616834
TCF4,CLEC4C,127.5453173876686
NEAT1,NAMPT,125.2810378006067
PAX5,FCER2,122.53954791861015
PAX5,BLK,121.17367356836422
ZEB2,PLEK,119.06539514112056
LEF1,FHIT,116.96745336679476
LEF1,CCR7,114.44635621706962
NEAT1,VMP1,114.31658004817412
NEAT1,RPL3,111.90622018913784
LEF1,TCF7,110.8090362025414
MEF2C,HLA-DRB1,110.31821051555708
