TF	target	importance
PAX5	EBF1	218.54500039408583
EBF1	PAX5	190.25138121409816
PAX5	MS4A1	188.4677493770266
FOSB	JUN	172.50596084987006
TCF7L2	CDKN1C	141.85601894370697
LEF1	NELL2	138.47542961589613
PAX5	CD22	134.34040036127354
PAX5	CD79A	133.05479212133912
EBF1	MS4A1	133.03938114536845
TCF4	RUNX2	132.67353917228402
LEF1	PRKCA	131.47532022049842
NEAT1	VCAN	128.9540738686051
MYBL1	CCL5	128.65657056589825
CREB5	VCAN	128.1027796616834
TCF4	CLEC4C	127.54531738766859
NEAT1	NAMPT	125.2810378006067
PAX5	FCER2	122.53954791861015
PAX5	BLK	121.17367356836422
ZEB2	PLEK	119.06539514112055
LEF1	FHIT	116.96745336679476
LEF1	CCR7	114.44635621706962
NEAT1	VMP1	114.31658004817413
NEAT1	RPL3	111.90622018913784
LEF1	TCF7	110.8090362025414
MEF2C	HLA-DRB1	110.31821051555708
BACH2	FOXP1	110.29372633013523
ZEB2	LTB	109.18727955707583
TCF7	LEF1	107.9783508074221
FOXP3	IL2RA	106.81539643156565
LEF1	BACH2	106.57945601443228
NEAT1	ACSL1	106.37658786430914
TBX21	GNLY	105.05598469971535
HOPX	GNLY	104.25612258586435
TCF4	UGCG	103.2115961080602
BACH2	SELL	102.51246869093185
TCF7L2	IFITM3	102.12048506564936
TCF4	SCN9A	101.78654947682055
GATA2	ERG	101.47085295533972
LEF1	FOXP1	101.1476606754684
BACH2	S100A4	100.99422881348814
PAX5	BIRC3	99.6822864356945
BACH2	ITGB1	99.47970284265473
MEF2C	HLA-DRA	98.95797759305114
NEAT1	BACH1	97.90367254719627
PTMA	B2M	97.24846346211808
EBF1	CD79A	96.7175556456514
NEAT1	SAT1	96.25910366178847
ZEB2	NEAT1	95.9790901117826
MEF2C	CD74	95.48764617922008
JUN	JUNB	95.29397095939647
LEF1	MLLT3	94.64721329945128
TCF4	IRF7	94.64082134770845
MEF2C	RORA	94.49786198962694
EBF1	CD22	94.10537525767089
FOSB	ERCC1	93.90517676066348
BACH2	CCR7	93.36480933368091
NEAT1	ADGRE5	93.2495254485465
NEAT1	CSF3R	92.75470600343415
BACH2	LEF1	92.60125753132044
TBX21	PRF1	92.54727898960847
PTMA	HLA-A	92.44985994914339
MEF2C	HLA-DQA1	92.44509640910532
NEAT1	TBXAS1	91.06294745421242
EBF1	BLK	90.64130960837603
TCF4	NRP1	90.49504245658981
NEAT1	CREB5	90.11506654740845
KLF4	FOSB	89.9215355332706
TCF7L2	CSF1R	89.77412908378653
FOS	JUN	89.5559993749759
NEAT1	JAK2	89.15557490599531
TCF7L2	MAFB	88.83590752288445
NEAT1	BACH2	88.76074186561941
NEAT1	ZEB2	88.59118686862438
MEF2C	CIITA	88.35654281106417
NEAT1	IL15	88.16002976703965
NEAT1	ATG7	87.67958446535374
PAX5	SETBP1	87.59743020344011
MEF2C	IL32	87.39950529219331
TBX21	CCL5	87.14338594179597
NEAT1	TYMP	86.76585651483866
NEAT1	CD36	86.65341173242948
PAX5	MGAT5	86.61977159965465
MYBL1	A2M	86.61721726941116
NEAT1	EPSTI1	86.53056056980213
NEAT1	COP1	86.51923351628932
BACH2	PDE7A	85.69058104048199
MYBL1	PPP2R2B	85.6119858936105
MEF2C	MEF2A	84.96866592579808
NEAT1	TLR2	84.57899820088632
CREB5	CSF3R	84.52241170969981
TCF4	ALOX5AP	84.42640500738766
BACH2	NELL2	84.2946621387882
NEAT1	HCK	84.20751059411423
HOPX	CCL5	83.67109849989404
LEF1	MAL	83.42304074235258
JUN	FOSB	83.30046222255801
CREB5	LYZ	83.14152079298547
MYBL1	GNLY	82.6281231881837
PTMA	HLA-B	82.3348696803507
FOXP1	S100A4	82.30685372417126
PAX5	HLA-DQA1	82.2446275793666
NEAT1	FOXO3	82.04999849204609
NEAT1	RPLP0	81.97866037388458
LEF1	ITGA6	81.54984292812469
MEF2C	HLA-DRB5	81.51410224997196
NEAT1	TCF7L2	81.45568393595133
CREB5	CD36	81.4459108880186
FOS	FOSB	81.3521571095988
NEAT1	NCF1	80.9572425608156
MYBL1	PRF1	80.89919928064037
BACH2	NR3C2	80.57364930919364
TCF7L2	TNFSF10	80.38347425953043
ZEB2	CTBP2	80.33495387105866
LEF1	NR3C2	80.16477487984598
PAX5	BCL11A	79.56806838884401
NEAT1	MNDA	78.99181004989617
HOPX	PRF1	78.59066051063041
FOSB	NR4A2	78.46405106490997
RORA	IL32	78.45632800262322
TCF4	TNFRSF21	78.38455315396824
MEF2C	HDAC9	78.10397152531074
NEAT1	CYBB	78.09958548046632
MEF2C	IRF8	77.63977550419007
LEF1	ZEB2	76.7776150497487
KLF4	NEAT1	76.7247319882573
TCF4	APP	76.59585117713874
TCF4	JCHAIN	76.12145679921176
NEAT1	LYZ	75.58714339948611
NEAT1	RPS3A	75.47163498199143
NEAT1	DUSP6	75.44663321972152
TCF7L2	UTRN	75.23069688120039
IRF1	STAT1	75.21143630066305
CIITA	HLA-DQA1	75.15975872186742
NEAT1	TNFSF13B	74.78518803286461
NEAT1	EXT1	74.5551996648521
NEAT1	DISC1	73.96163666695458
BACH2	NRCAM	73.94177264704881
JUNB	TSC22D3	73.93066973735
MEF2C	HLA-DQB1	73.81647426961672
TCF4	DACH1	73.53307244226883
BACH2	KLF6	73.43868869575388
LEF1	SATB1	73.38031784780438
NEAT1	TNFRSF1B	73.32161061078266
KLF4	NAMPT	73.25230120480873
LEF1	SELL	73.20573612610701
MEF2C	HLA-DPA1	73.16520898041742
ZEB2	LEF1	73.06045335096563
ZEB2	BCL2	72.87101489391878
BACH2	FOXO1	72.55975777856234
NEAT1	PRAM1	72.31490181138345
MEF2C	CD247	72.14050099378478
PAX5	HLA-DOB	72.05334583220909
PAX5	PRDM2	71.91957054963453
TCF4	GZMB	71.89497941498108
EBF1	POU2AF1	71.72163373157981
NEAT1	KLF4	71.61003627655107
FOS	DUSP1	71.51865758332349
MYBL1	TGFBR3	71.42035208762171
TCF4	CD2AP	71.21458109984411
PAX5	ARID5B	71.12614468068402
MAFB	IFITM3	71.10127566343677
BACH2	BCL2	70.76827458933374
EBF1	HLA-DQA1	70.68311944030967
NEAT1	RIPK2	70.65758949430244
PTMA	HLA-E	70.49254984014263
LEF1	ETS1	70.23161215581027
BACH2	TGFBR2	70.15842661038448
TBX21	HOPX	70.07747156570053
TCF7L2	LILRB1	70.02332876697189
TCF4	SERPINF1	69.90029841201249
PAX5	BACE2	69.60748533125918
PAX5	TNFRSF13C	69.55981645360282
CREB5	TRPS1	69.5572325057373
HMGB2	MKI67	69.5211784824591
TCF4	ERN1	69.51617327662062
RORA	CD2	69.4281473710283
NEAT1	CUX1	69.32687765965262
CREB5	MNDA	69.3064830516173
PAX5	RASGRP3	69.23069030733927
EIF2AK2	MX1	69.17474367769584
ERG	GATA2	68.98356644715084
LEF1	FOXO1	68.9253008406904
KLF4	FOS	68.87790325988792
CREB5	FOS	68.33422653628728
NEAT1	LRP1	68.32606708586799
NEAT1	PLSCR1	68.23878692068902
LEF1	IGF1R	68.15947105170375
PAX5	ST6GAL1	68.04846513484864
CREB5	S100A9	67.80125198797184
MAFB	CSF1R	67.72952232360886
ZEB2	BACH2	67.43875114450536
FOXP1	BACH2	67.20490784187342
NEAT1	S100A9	67.112448886039
NEAT1	CD14	67.10100203489858
HDAC9	HLA-DRB1	67.07157798669051
KLF4	SPI1	66.99210044416516
TCF4	IRF4	66.93407764673
LEF1	NRCAM	66.80561387986837
NEAT1	IRF1	66.70233088408564
HDAC9	CD74	66.63181855191176
NEAT1	ALOX5	66.62407222094575
MAF	PTPN13	66.61096035260144
TCF4	SCT	66.49344092599581
TBX21	GZMB	66.46458199204041
MEF2C	STAT4	66.0484457775184
MEF2C	HLA-DPB1	66.0246086818638
FOXP1	TGFBR2	65.9617169054205
NEAT1	B2M	65.8769868261545
RORA	CD247	65.86073608289647
MEF2C	SYK	65.78417586647883
HOPX	IL2RB	65.74293814335341
PBX1	GATA2	65.52544121631297
PAX5	POU2AF1	65.44628604835066
CREB5	NEAT1	65.42819446822004
CREB5	CUX1	65.31504840776246
NEAT1	TNFSF10	64.89498572294177
LEF1	LRRN3	64.87568413709464
RORA	MYBL1	64.84643960713754
ZEB2	UTRN	64.83247239363646
PAX5	ABCB4	64.55995144881005
CREB5	ACSL1	64.52404690713593
NEAT1	STAT1	64.42408682503344
HOPX	ZBTB16	64.4233300061082
JUNB	JUN	64.33220376032459
RORA	ITGB1	64.27284700026725
MAFB	TCF7L2	64.24831178837812
NEAT1	NAIP	64.23337020614967
NEAT1	CD69	64.06678857562233
LEF1	CD8B	64.02941360215142
STAT4	CD8A	64.02628245959387
TBX21	IL2RB	64.00560392412713
HOPX	GZMB	63.95515166235446
ZEB2	TCF7L2	63.84540300811478
MYBL1	RORA	63.63063675129913
HDAC9	HLA-DRA	63.50297363296503
PAX5	CCR6	63.48034940047985
KLF4	ETV6	63.42915711409026
ZEB2	NCOA1	63.37139411792257
BACH2	LTB	63.3236383763023
BCL11A	HLA-DQA1	63.305131572523486
LEF1	RGS10	63.03047272539144
BACH2	S100A11	62.890830841567805
MEF2C	HLA-DMB	62.85692736910583
BACH2	NEAT1	62.808370551318816
LEF1	PLEK	62.742642723968764
CREB5	KLF4	62.741833833253324
TCF4	FLT3	62.657927623256626
BACH2	BTG1	62.6115485029094
TBX21	CCL4	62.56478309685671
TCF4	TXN	62.43373241826054
NEAT1	SOD2	62.40375361547859
STAT4	KLRK1	62.376043142459864
NEAT1	CTSS	62.3506759461711
ZEB2	KLF4	62.30820848016728
NEAT1	NFKBIZ	62.19554506007967
NEAT1	ETV6	62.00546939597061
MEF2C	RB1	61.96282680759315
LEF1	PDE7A	61.89476345447411
PAX5	CD82	61.89084768744894
EBF1	SETBP1	61.881192078921146
EBF1	BIRC3	61.766676491657556
RORA	MAF	61.734426599986406
BACH2	CD8B	61.66842650372815
SPIB	TCF4	61.554768737724665
STAT1	IRF1	61.49165532659522
HOPX	TBX21	61.45364237406555
MAFB	IFIT3	61.24029068200257
NEAT1	EPB41L3	61.21179969017574
TCF7L2	HMOX1	61.191030709607965
PAX5	RRAS2	61.16181985460233
LEF1	PDK1	61.13186462925846
HDAC9	IL32	60.97257208681566
ZBTB16	NCAM1	60.94191415788994
EBF1	SOX5	60.879881595038434
MEF2C	CD83	60.823662655221554
BACH2	CXCR4	60.81336891005979
PAX5	TLR10	60.78259307725188
TCF4	SPIB	60.77517938615517
CREB5	ETV6	60.57649325084761
HOPX	CCL4	60.47211164528315
FOSB	FOS	60.33123759564199
EBF1	FCER2	59.903726632677945
NEAT1	MCL1	59.89018759088754
NEAT1	TRPS1	59.84301463408613
CIITA	HLA-DQB1	59.708171360247704
CREB5	CEBPD	59.674410826397086
ZEB2	ZEB1	59.63720485606356
PAX5	EZR	59.27668062601965
EBF1	EZR	59.205511183601374
NEAT1	MXD1	59.15756704368856
MYBL1	STK39	59.125491647017036
EBF1	TNFRSF13C	59.12156597113961
NEAT1	LRRFIP1	59.114430588660085
NEAT1	DUSP1	59.042433290749564
NEAT1	PLAUR	59.01022176028635
BACH2	FHIT	58.97918695065931
NEAT1	AHR	58.96048540027844
BACH2	PRKN	58.95832063464177
MAFB	CDKN1C	58.78364376507191
FOS	PER1	58.694677101577106
BACH2	IGF1R	58.57887019274843
SPI1	FGL2	58.52004302368741
CREB5	TLR2	58.30321767733747
LEF1	ATM	58.26448229092706
CREB5	CD14	58.18542586750578
TCF4	TLR9	58.13677362713972
