TF,target,importance
EBF1,PAX5,189.46651507695893
ZEB2,LTB,160.0582435165628
EBF1,MS4A1,148.04499873777814
TCF7L2,CDKN1C,147.910444622548
LEF1,PRKCA,147.73465226147536
FOSB,JUN,147.39208002134814
GATA2,ERG,143.4247033920467
PAX5,EBF1,141.18442126055592
CREB5,VCAN,138.0818961580123
LEF1,FHIT,133.80267057537924
HDAC3,DUX4,133.74074773345032
EBF1,CD79A,131.9340669131321
MYBL1,CCL5,128.39237882617266
LEF1,NELL2,126.31945385775664
TCF4,RUNX2,126.10913074360614
TCF4,CLEC4C,122.57412989727855
NEAT1,VCAN,121.90058989195008
LEF1,CCR7,120.40343965563922
PAX5,MS4A1,120.24382096297214
ZEB2,BCL2,120.10235297806088
NEAT1,NAMPT,118.75171110366044
NEAT1,ACSL1,117.21666277380068
ETS1,DUX4,113.78558037556432
NEAT1,VMP1,112.74841523521457
LEF1,TCF7,112.424963744608
